case_id,expected_snap,expected_medicaid_chip,expected_liheap,expected_wic,expected_local_referral,expected_uncertainty_flag,expected_priority_order,expected_checklist_programs,expected_explanation_notes,why_this_is_expected
TC01,likely_applicable,likely_applicable,likely_applicable,likely_inapplicable,likely_inapplicable,false,LIHEAP > SNAP > Medicaid/CHIP,"SNAP, Medicaid/CHIP, LIHEAP","Should explain that very low income plus clear food hardship, no insurance, and a past-due heating bill make all three in-scope programs strong fits; prioritize the heating bill as urgent but clarify this is still a prescreen, not an official determination.","A one-person household at $900/month is below the posted SNAP gross income limit and well below LIHEAP's annual income cap. The applicant is also uninsured and below Pennsylvania's adult Medicaid expansion threshold, so all three programs are strong likely matches."
TC02,likely_inapplicable,likely_inapplicable,likely_inapplicable,likely_inapplicable,likely_inapplicable,false,,,"Should clearly say the household does not appear to fit the in-scope benefit programs based on income, existing employer coverage, and lack of food or heating hardship. The system should avoid over-recommending programs here.","A two-adult household at $7,200/month is far above SNAP, Medicaid, WIC, and LIHEAP income limits, and the scenario includes stable insurance and no clear hardship signals. This is a clean negative control case."
TC03,likely_applicable,likely_applicable,likely_applicable,likely_applicable,likely_inapplicable,false,SNAP > LIHEAP > Medicaid/CHIP > WIC,"SNAP, Medicaid/CHIP, LIHEAP, WIC","Should communicate that this household likely fits multiple programs at once and should get a multi-program checklist. It should note that one child is under 5, the family is skipping meals, and the overdue heating bill increases urgency.","A three-person household at $1,900/month is below SNAP and LIHEAP limits, and the parent and both children are under applicable Medicaid income thresholds. Because there is a child under 5 and income is low, WIC is also likely relevant."
TC04,uncertain,uncertain,uncertain,likely_inapplicable,likely_applicable,true,Local Referral > LIHEAP > SNAP > Medicaid/CHIP,"LIHEAP, SNAP, Medicaid/CHIP, Local Referral","Must explicitly say that income is missing, so the system cannot make a firm prescreen. It should recommend gathering recent gig-work income records, mention the shutoff risk as urgent, and route the household toward local or human support while statewide benefits are clarified.","This scenario is intentionally incomplete because the monthly earned income and total household income are missing. The utility shutoff notice makes LIHEAP and local navigation important, but the system should not present SNAP or Medicaid as definite without income verification."
TC05,likely_applicable,likely_applicable,likely_applicable,likely_applicable,likely_inapplicable,true,LIHEAP > SNAP > Medicaid/CHIP > WIC,"SNAP, Medicaid/CHIP, LIHEAP, WIC","Must highlight that the case is near thresholds and that age matters for children's health coverage. The explanation should say the younger child likely falls within Medicaid, the older child may need CHIP review, and income should be verified carefully because LIHEAP appears close to the cutoff.","A four-person household at $4,090/month is below SNAP's gross income limit and just under LIHEAP's annual income cap when annualized. The 4-year-old is under the age 1-5 Medicaid limit, while the 9-year-old is above the 6-18 Medicaid limit and may need CHIP rather than Medicaid."
TC06,uncertain,uncertain,uncertain,likely_inapplicable,likely_applicable,true,Local Referral > SNAP > LIHEAP > Medicaid/CHIP,"SNAP, Medicaid/CHIP, LIHEAP, Local Referral","Must flag the conflict between full-time employment and zero earned income, and say that follow-up is required before giving a firm eligibility read. It can note that food and utility hardship suggest the programs may be worth pursuing once the income data is corrected.","This case is designed to test contradiction handling. If the zero income is correct, several programs look plausible, but the employment and income fields conflict, so the correct behavior is uncertainty plus escalation or follow-up rather than overconfident recommendations."
TC07,likely_inapplicable,likely_inapplicable,likely_inapplicable,likely_inapplicable,likely_applicable,false,Local Referral,Local Referral,"Should explain that the main need is housing stabilization, legal aid, rental help, or similar local support rather than statewide public benefits. The system should not push SNAP, Medicaid, or LIHEAP when the scenario mainly signals eviction-related local need.","This single-adult household is above SNAP and adult Medicaid income limits, has no heating-assistance signal, and is insured. The strongest fit is a local referral pathway related to housing instability after eviction."
TC08,likely_applicable,likely_applicable,likely_applicable,likely_applicable,likely_applicable,true,Local Referral > SNAP > LIHEAP > Medicaid/CHIP > WIC,"SNAP, Medicaid/CHIP, LIHEAP, WIC, Local Referral","Should say this household likely fits multiple programs but the intake is messy and should be normalized carefully. It should mention mixed weekly and monthly amounts, cash income, recent layoff, and the need for plain-language or Spanish-friendly follow-up.","A five-person household at $2,550/month is well below the published SNAP, LIHEAP, Medicaid, and WIC thresholds. But the scenario intentionally includes rushed, messy intake and mixed income reporting, so the system should still surface uncertainty and route toward navigation support."
TC09,likely_applicable,uncertain,likely_applicable,likely_inapplicable,likely_applicable,true,Local Referral > LIHEAP > SNAP > Medicaid/CHIP,"SNAP, Medicaid/CHIP, LIHEAP, Local Referral",Must explain that household composition and existing coverage need clarification before giving a firm Medicaid/CHIP answer for the teen. It should still note that low income and heating need make SNAP and LIHEAP plausible while recommending help on guardianship or dependent-status questions.,"The household income is low enough that SNAP and LIHEAP remain plausible whether the teen counts in the household or not. But Medicaid/CHIP depends on who is in the budget group and whether the 17-year-old already has active coverage through another parent, so that result should stay uncertain."
TC10,likely_inapplicable,likely_applicable,likely_inapplicable,likely_applicable,likely_inapplicable,true,Medicaid/CHIP > WIC,"Medicaid/CHIP, WIC","Must preserve the key caveat that the pregnant applicant may qualify even though the spouse likely does not. It should explain that pregnancy Medicaid and WIC count unborn children in household size, and it should avoid recommending SNAP or LIHEAP here.","At $4,300/month, the two-adult household is above SNAP and LIHEAP cutoffs and above the standard adult Medicaid threshold for the spouse. But pregnancy Medicaid uses a larger household size because of the twins, which makes the pregnant applicant likely eligible, and pregnancy also makes WIC likely relevant."
